num episodio,learning constant,discount factor,exploration factor,acumulated reward,iterations
0,0.5,0.95,0.95,17.121157245285215,59
1,0.5,0.95,0.95,4.110045249706089,11
2,0.5,0.95,0.95,5.093265038523774,14
3,0.5,0.95,0.95,18.181903303400784,39
4,0.5,0.95,0.95,4.090550741387874,11
5,0.5,0.95,0.95,4.0,15
6,0.5,0.95,0.95,8.709737424701487,22
7,0.5,0.95,0.95,12.225037091638143,37
8,0.5,0.95,0.95,2.0,11
9,0.5,0.95,0.95,14.746703914583513,44
10,0.5,0.95,0.95,2.0,17
11,0.5,0.95,0.95,3.0317553917589737,19
12,0.5,0.95,0.95,4.9827156320359745,14
13,0.5,0.95,0.95,8.541094329987054,23
14,0.5,0.95,0.95,12.26839774809075,36
15,0.5,0.95,0.95,5.119417491143343,13
16,0.5,0.95,0.95,8.14350023585694,21
17,0.5,0.95,0.95,8.999995130696508,23
18,0.5,0.95,0.95,14.91100163075842,37
19,0.5,0.95,0.95,20.51901070998653,52
20,0.5,0.95,0.95,6.517485843598905,22
21,0.5,0.95,0.95,3.5315756582983884,17
22,0.5,0.95,0.95,12.937908170439451,39
23,0.5,0.95,0.95,5.404332998975703,18
24,0.5,0.95,0.95,6.497960048822662,15
25,0.5,0.95,0.95,3.5647315376212294,10
26,0.5,0.95,0.95,6.6862040792742405,22
27,0.5,0.95,0.95,3.5634694810743466,12
28,0.5,0.95,0.95,13.775143313864278,71
29,0.5,0.95,0.95,6.3136507774802215,18
30,0.5,0.95,0.95,9.451472742767553,21
31,0.5,0.95,0.95,10.322115176908623,26
32,0.5,0.95,0.95,4.028123712540643,13
33,0.5,0.95,0.95,8.0,29
34,0.5,0.95,0.95,10.008051236504752,37
35,0.5,0.95,0.95,10.853213511181,25
36,0.5,0.95,0.95,19.454404306680946,48
37,0.5,0.95,0.95,14.480246748903816,48
38,0.5,0.95,0.95,4.088298770872004,11
39,0.5,0.95,0.95,20.7901644414618,50
40,0.5,0.95,0.95,5.0,13
41,0.5,0.95,0.95,13.54980758103551,41
42,0.5,0.95,0.95,5.660684527747935,22
43,0.5,0.95,0.95,5.448055149075877,17
44,0.5,0.95,0.95,5.207219628650575,16
45,0.5,0.95,0.95,8.240809680146281,21
46,0.5,0.95,0.95,9.195847383195098,25
47,0.5,0.95,0.95,10.378723883200326,30
48,0.5,0.95,0.95,13.324587817224486,38
49,0.5,0.95,0.95,9.241606088818683,29
50,0.5,0.95,0.95,3.837928771371202,13
51,0.5,0.95,0.95,3.2836805117275674,14
52,0.5,0.95,0.95,5.110428699264319,16
53,0.5,0.95,0.95,5.592475155702722,14
54,0.5,0.95,0.95,20.48907728489398,57
55,0.5,0.95,0.95,5.588549123877272,18
56,0.5,0.95,0.95,11.931957472225132,34
57,0.5,0.95,0.95,5.646508821189053,15
58,0.5,0.95,0.95,9.606655896780143,37
59,0.5,0.95,0.95,5.077603938989622,12
60,0.5,0.95,0.95,8.477128725169976,22
61,0.5,0.95,0.95,4.150482432632109,16
62,0.5,0.95,0.95,3.3507877783419233,12
63,0.5,0.95,0.95,9.521191261650268,23
64,0.5,0.95,0.95,11.626609130953051,50
65,0.5,0.95,0.95,11.054648805296901,29
66,0.5,0.95,0.95,7.521773770830959,22
67,0.5,0.95,0.95,4.431797898227039,17
68,0.5,0.95,0.95,8.219560980018784,23
69,0.5,0.95,0.95,8.695493735356829,27
70,0.5,0.95,0.95,9.597780122818392,31
71,0.5,0.95,0.95,11.6219284483751,33
72,0.5,0.95,0.95,4.961100471484707,19
73,0.5,0.95,0.95,15.926897112478091,47
74,0.5,0.95,0.95,13.175280738791612,34
75,0.5,0.95,0.95,7.108319117400391,24
76,0.5,0.95,0.95,13.252388355796178,29
77,0.5,0.95,0.95,9.75053850832742,32
78,0.5,0.95,0.95,11.305152202632197,33
79,0.5,0.95,0.95,6.863978293304473,18
80,0.5,0.95,0.95,17.426263521793466,47
81,0.5,0.95,0.95,13.166165287213552,37
82,0.5,0.95,0.95,9.743252970912685,24
83,0.5,0.95,0.95,9.898217353125197,29
84,0.5,0.95,0.95,17.858865600475355,56
85,0.5,0.95,0.95,7.855757094883638,26
86,0.5,0.95,0.95,4.8444811796791365,13
87,0.5,0.95,0.95,15.988843434521815,46
88,0.5,0.95,0.95,26.21601724905643,64
89,0.5,0.95,0.95,10.521307292899863,25
90,0.5,0.95,0.95,7.221366557436261,19
91,0.5,0.95,0.95,5.098599812428278,12
92,0.5,0.95,0.95,9.752686930666666,24
93,0.5,0.95,0.95,8.457668285957832,31
94,0.5,0.95,0.95,7.688576174113025,16
95,0.5,0.95,0.95,9.450723654856167,42
96,0.5,0.95,0.95,18.95105386919533,53
97,0.5,0.95,0.95,5.0,17
98,0.5,0.95,0.95,5.724989677065823,15
99,0.5,0.95,0.95,5.1340142470183965,14
100,0.5,0.95,0.95,23.70422477074249,61
101,0.5,0.95,0.95,4.0,11
102,0.5,0.95,0.95,15.504664153189383,38
103,0.5,0.95,0.95,4.4328649186301226,22
104,0.5,0.95,0.95,5.060479877361822,17
105,0.5,0.95,0.95,5.720322305203205,13
106,0.5,0.95,0.95,7.204607453957511,22
107,0.5,0.95,0.95,5.034735959885419,14
108,0.5,0.95,0.95,9.115654479862139,26
109,0.5,0.95,0.95,6.06992227502764,13
110,0.5,0.95,0.95,19.81339433019877,49
111,0.5,0.95,0.95,8.790370722217233,24
112,0.5,0.95,0.95,25.714141546743566,65
113,0.5,0.95,0.95,3.5400911486527527,11
114,0.5,0.95,0.95,4.055472620377462,14
115,0.5,0.95,0.95,9.596129498053825,26
116,0.5,0.95,0.95,10.644312571995268,31
117,0.5,0.95,0.95,6.2097305267163,14
118,0.5,0.95,0.95,4.019116701362995,9
119,0.5,0.95,0.95,7.326643070578533,19
120,0.5,0.95,0.95,5.0479030297651235,16
121,0.5,0.95,0.95,5.565813061274397,21
122,0.5,0.95,0.95,11.966670814630195,33
123,0.5,0.95,0.95,6.669745866403235,22
124,0.5,0.95,0.95,5.107545333739242,23
125,0.5,0.95,0.95,8.810884202033701,28
126,0.5,0.95,0.95,17.419249676541146,52
127,0.5,0.95,0.95,9.24375144662643,25
128,0.5,0.95,0.95,7.167602781461773,24
129,0.5,0.95,0.95,0.0,1
130,0.5,0.95,0.95,19.399158486921145,49
131,0.5,0.95,0.95,4.116282108081942,11
132,0.5,0.95,0.95,4.029267213905095,14
133,0.5,0.95,0.95,11.605534045684333,37
134,0.5,0.95,0.95,21.30560363004977,65
135,0.5,0.95,0.95,3.063182045596645,10
136,0.5,0.95,0.95,17.691619705722186,61
137,0.5,0.95,0.95,8.617418656625095,27
138,0.5,0.95,0.95,12.189801284373408,33
139,0.5,0.95,0.95,3.8312741961721377,14
140,0.5,0.95,0.95,8.120605052123075,27
141,0.5,0.95,0.95,3.9424933201160672,15
142,0.5,0.95,0.95,6.114876944723605,19
143,0.5,0.95,0.95,10.84879381531609,33
144,0.5,0.95,0.95,4.137920557630843,10
145,0.5,0.95,0.95,5.874419067505659,16
146,0.5,0.95,0.95,6.626058615956488,21
147,0.5,0.95,0.95,8.180694802056475,24
148,0.5,0.95,0.95,8.535637647074559,23
149,0.5,0.95,0.95,7.773468875067445,18
150,0.5,0.95,0.95,11.368975729664546,33
151,0.5,0.95,0.95,8.660800525000672,33
152,0.5,0.95,0.95,14.861964407903812,52
153,0.5,0.95,0.95,3.58062097752276,14
154,0.5,0.95,0.95,5.243247932180717,28
155,0.5,0.95,0.95,8.212828466905044,28
156,0.5,0.95,0.95,8.503715835276928,27
157,0.5,0.95,0.95,13.985713123707319,36
158,0.5,0.95,0.95,6.351041693745444,29
159,0.5,0.95,0.95,0.0,1
160,0.5,0.95,0.95,24.957828228429445,70
161,0.5,0.95,0.95,9.474006402049053,23
162,0.5,0.95,0.95,6.14716776500731,14
163,0.5,0.95,0.95,20.887576568605382,48
164,0.5,0.95,0.95,11.180063020907568,28
165,0.5,0.95,0.95,9.705203404992073,27
166,0.5,0.95,0.95,9.204016680080967,23
167,0.5,0.95,0.95,3.563855745965243,11
168,0.5,0.95,0.95,4.5922310314934425,12
169,0.5,0.95,0.95,4.331032280682232,12
170,0.5,0.95,0.95,7.862742698983592,19
171,0.5,0.95,0.95,4.491349737763057,11
172,0.5,0.95,0.95,8.0,16
173,0.5,0.95,0.95,6.6579682510316935,17
174,0.5,0.95,0.95,10.034946078706986,24
175,0.5,0.95,0.95,9.498362397127414,23
176,0.5,0.95,0.95,7.094315357343998,23
177,0.5,0.95,0.95,6.75619328030344,23
178,0.5,0.95,0.95,3.0,12
179,0.5,0.95,0.95,18.828609772087354,42
180,0.5,0.95,0.95,4.416398352719601,12
181,0.5,0.95,0.95,4.219968208190737,31
182,0.5,0.95,0.95,5.564237904057375,15
183,0.5,0.95,0.95,4.248265728595188,14
184,0.5,0.95,0.95,4.519967035499902,19
185,0.5,0.95,0.95,11.19567377001315,25
186,0.5,0.95,0.95,7.0086419473852715,28
187,0.5,0.95,0.95,9.306192602975608,24
188,0.5,0.95,0.95,10.768505397593518,23
189,0.5,0.95,0.95,4.0,17
190,0.5,0.95,0.95,1.4535981680125554,13
191,0.5,0.95,0.95,7.896945125950435,22
192,0.5,0.95,0.95,8.466524574677193,24
193,0.5,0.95,0.95,14.020629294045714,34
194,0.5,0.95,0.95,6.592939654482418,20
195,0.5,0.95,0.95,7.091935940196989,21
196,0.5,0.95,0.95,4.160515712764065,14
197,0.5,0.95,0.95,12.206476179725858,27
198,0.5,0.95,0.95,6.683528524541984,21
199,0.5,0.95,0.95,6.883223611776577,17
200,0.5,0.95,0.95,3.545510185480612,9
