num episodio,learning constant,discount factor,exploration factor,acumulated reward,iterations
0,0.5,0.95,0.95,-20.950731011200222,17
1,0.5,0.95,0.95,-16.46201343452396,28
2,0.5,0.95,0.95,-18.687860857915314,30
3,0.5,0.95,0.95,-18.270214856731616,31
4,0.5,0.95,0.95,-23.794621372967995,26
5,0.5,0.95,0.95,-17.668383256412785,28
6,0.5,0.95,0.95,-16.189484717154805,18
7,0.5,0.95,0.95,-14.954778164946088,56
8,0.5,0.95,0.95,-20.958977034294108,11
9,0.5,0.95,0.95,-15.54377999823323,12
10,0.5,0.95,0.95,-3.8292697819998587,38
11,0.5,0.95,0.95,-17.040532312813404,38
12,0.5,0.95,0.95,-16.182110946383155,44
13,0.5,0.95,0.95,-19.089452227693386,26
14,0.5,0.95,0.95,-0.2606108057367109,41
15,0.5,0.95,0.95,-28.381288908822402,20
16,0.5,0.95,0.95,-12.647329175793406,44
17,0.5,0.95,0.95,-37.1732403485711,24
18,0.5,0.95,0.95,-4.109062137804683,36
19,0.5,0.95,0.95,-4.032683452600894,58
20,0.5,0.95,0.95,-21.660114566202946,18
21,0.5,0.95,0.95,-10.892005319353602,85
22,0.5,0.95,0.95,-19.34799601557104,25
23,0.5,0.95,0.95,-13.740351319632627,60
24,0.5,0.95,0.95,-21.186440304261065,13
25,0.5,0.95,0.95,-5.857642802674983,44
26,0.5,0.95,0.95,-21.865021187711545,47
27,0.5,0.95,0.95,-22.0911922288068,22
28,0.5,0.95,0.95,2.630101653520743,77
29,0.5,0.95,0.95,11.001091650919427,50
30,0.5,0.95,0.95,-11.635698734589647,35
31,0.5,0.95,0.95,16.667989320614815,78
32,0.5,0.95,0.95,-17.732597824471124,35
33,0.5,0.95,0.95,-19.29639995513264,76
34,0.5,0.95,0.95,-20.0,1
35,0.5,0.95,0.95,-21.472954861056177,13
36,0.5,0.95,0.95,-17.60169851834455,27
37,0.5,0.95,0.95,-24.975971562707702,35
38,0.5,0.95,0.95,-15.790528545833496,28
39,0.5,0.95,0.95,-14.57752870312532,18
40,0.5,0.95,0.95,-2.3886821151834354,48
41,0.5,0.95,0.95,-21.148305486221908,14
42,0.5,0.95,0.95,-19.2861009478424,14
43,0.5,0.95,0.95,-21.32497858227473,27
44,0.5,0.95,0.95,0.9036385612615092,50
45,0.5,0.95,0.95,-19.56177257920749,35
46,0.5,0.95,0.95,-18.228220729862166,32
47,0.5,0.95,0.95,-19.12043376333228,23
48,0.5,0.95,0.95,-27.97250792811694,19
49,0.5,0.95,0.95,-16.2537277601496,32
50,0.5,0.95,0.95,-23.997440626921694,69
51,0.5,0.95,0.95,-14.819085696462263,25
52,0.5,0.95,0.95,-25.498963280955937,44
53,0.5,0.95,0.95,-29.281009536755697,27
54,0.5,0.95,0.95,-83.60441363017296,115
55,0.5,0.95,0.95,18.56903149356507,70
56,0.5,0.95,0.95,-13.782894387149152,19
57,0.5,0.95,0.95,-15.229350403822336,58
58,0.5,0.95,0.95,-18.218778613311777,27
59,0.5,0.95,0.95,-25.211574225657547,24
60,0.5,0.95,0.95,-10.49017602715346,27
61,0.5,0.95,0.95,-19.313702839359195,33
62,0.5,0.95,0.95,-22.63664501198955,42
63,0.5,0.95,0.95,-19.16449495983539,19
64,0.5,0.95,0.95,-28.786667688369334,120
65,0.5,0.95,0.95,-17.9587605371527,30
66,0.5,0.95,0.95,-21.727215131318875,22
67,0.5,0.95,0.95,-20.149614480667818,18
68,0.5,0.95,0.95,-14.087534921944336,38
69,0.5,0.95,0.95,-21.740618616593974,24
70,0.5,0.95,0.95,-29.121513910604264,54
71,0.5,0.95,0.95,-14.575174606414313,39
72,0.5,0.95,0.95,-22.2525125348032,44
73,0.5,0.95,0.95,-17.757711470834494,45
74,0.5,0.95,0.95,-19.650451049597184,15
75,0.5,0.95,0.95,-18.73708006360992,47
76,0.5,0.95,0.95,-20.91824557336155,31
77,0.5,0.95,0.95,-22.01537893616347,22
78,0.5,0.95,0.95,-15.096172797764265,30
79,0.5,0.95,0.95,-19.534746587349186,14
80,0.5,0.95,0.95,33.795852509706286,155
81,0.5,0.95,0.95,-18.310734033273338,23
82,0.5,0.95,0.95,-14.74513870740532,54
83,0.5,0.95,0.95,-22.320926234418113,13
84,0.5,0.95,0.95,-37.03152086590033,19
85,0.5,0.95,0.95,-17.780020844608746,13
86,0.5,0.95,0.95,-15.528633065014667,15
87,0.5,0.95,0.95,16.52428278597955,56
88,0.5,0.95,0.95,-19.92398364250461,17
89,0.5,0.95,0.95,-15.434299956709161,50
90,0.5,0.95,0.95,4.565402358842672,68
91,0.5,0.95,0.95,-15.166729465317523,64
92,0.5,0.95,0.95,-9.584469595913736,69
93,0.5,0.95,0.95,-18.713737157028646,21
94,0.5,0.95,0.95,-18.27758678832488,40
95,0.5,0.95,0.95,-6.902754882662824,15
96,0.5,0.95,0.95,-30.937084955031175,22
97,0.5,0.95,0.95,-19.5783824499317,23
98,0.5,0.95,0.95,-23.949559428956565,21
99,0.5,0.95,0.95,-18.933351536557588,17
100,0.5,0.95,0.95,-12.441586111540683,30
101,0.5,0.95,0.95,-12.737622553122012,55
102,0.5,0.95,0.95,-19.187340411871343,37
103,0.5,0.95,0.95,-3.973440595419632,34
104,0.5,0.95,0.95,-18.708839078615924,31
105,0.5,0.95,0.95,-16.957136010863596,27
106,0.5,0.95,0.95,-9.365252187324982,38
107,0.5,0.95,0.95,-21.31155553482503,21
108,0.5,0.95,0.95,-18.59020930362111,41
109,0.5,0.95,0.95,-17.910300245488123,19
110,0.5,0.95,0.95,22.97611892623071,89
111,0.5,0.95,0.95,-17.275400539700296,31
112,0.5,0.95,0.95,-17.71413717617776,17
113,0.5,0.95,0.95,-18.852409307485527,25
114,0.5,0.95,0.95,-17.339916493147072,41
115,0.5,0.95,0.95,-31.317903511492567,78
116,0.5,0.95,0.95,-19.259258690414548,54
117,0.5,0.95,0.95,-19.332064150644303,17
118,0.5,0.95,0.95,-22.40806241022933,22
119,0.5,0.95,0.95,-23.63741350290181,24
120,0.5,0.95,0.95,-21.25634215866744,39
121,0.5,0.95,0.95,-21.436987291537456,31
122,0.5,0.95,0.95,-19.53163552136262,16
123,0.5,0.95,0.95,-18.63636203418645,31
124,0.5,0.95,0.95,15.2262098932883,52
125,0.5,0.95,0.95,-19.73982948257043,14
126,0.5,0.95,0.95,-19.76223786632152,13
127,0.5,0.95,0.95,-18.02172109737716,20
128,0.5,0.95,0.95,-19.830448733422305,14
129,0.5,0.95,0.95,-25.242899362545725,30
130,0.5,0.95,0.95,-19.064022117170012,17
131,0.5,0.95,0.95,-23.49567854730063,17
132,0.5,0.95,0.95,-17.528790003645472,65
133,0.5,0.95,0.95,1.3434841115075358,81
134,0.5,0.95,0.95,3.176052690843232,49
