num episodio,learning constant,discount factor,exploration factor,acumulated reward
0,0.5,0.95,0.95,-24.9391722518788
1,0.5,0.95,0.95,-22.893065433471584
2,0.5,0.95,0.95,-15.647374356349783
3,0.5,0.95,0.95,-19.488954650419334
4,0.5,0.95,0.95,-18.87663711679922
5,0.5,0.95,0.95,-19.27135970743995
6,0.5,0.95,0.95,-19.61299982342751
7,0.5,0.95,0.95,-19.662288576891445
8,0.5,0.95,0.95,-23.581548893728556
9,0.5,0.95,0.95,-21.46678963485821
10,0.5,0.95,0.95,-18.04434548742006
11,0.5,0.95,0.95,-17.21102217189855
12,0.5,0.95,0.95,-18.594736921566774
13,0.5,0.95,0.95,-19.660275034266128
14,0.5,0.95,0.95,-19.353689083115885
15,0.5,0.95,0.95,-15.445963143287571
16,0.5,0.95,0.95,-17.999867401182563
17,0.5,0.95,0.95,-19.36099566121931
18,0.5,0.95,0.95,-18.79285185086788
19,0.5,0.95,0.95,-17.36614848938571
20,0.5,0.95,0.95,-22.14289651268404
21,0.5,0.95,0.95,-19.410523393616124
22,0.5,0.95,0.95,-17.50374748259206
23,0.5,0.95,0.95,-17.08084175087098
24,0.5,0.95,0.95,-18.233369984897095
25,0.5,0.95,0.95,-12.216522205823754
26,0.5,0.95,0.95,-17.480756170675022
27,0.5,0.95,0.95,-19.532914948769413
28,0.5,0.95,0.95,-17.155242472458895
29,0.5,0.95,0.95,-18.622995713342387
30,0.5,0.95,0.95,-19.803228498572857
31,0.5,0.95,0.95,-20.550453381847415
32,0.5,0.95,0.95,-17.527710467875217
33,0.5,0.95,0.95,-19.7311716025566
34,0.5,0.95,0.95,-18.561448532872397
35,0.5,0.95,0.95,-18.574186896353797
36,0.5,0.95,0.95,-17.308794779719637
37,0.5,0.95,0.95,-18.29952615918667
38,0.5,0.95,0.95,-18.62622382719537
39,0.5,0.95,0.95,-20.95541514000472
40,0.5,0.95,0.95,-20.354017691125915
41,0.5,0.95,0.95,-18.83251989097845
42,0.5,0.95,0.95,-15.112686944674014
43,0.5,0.95,0.95,-18.879981915481775
44,0.5,0.95,0.95,-19.17083840665089
45,0.5,0.95,0.95,-20.93309100631565
46,0.5,0.95,0.95,-21.050807624178233
47,0.5,0.95,0.95,-14.702861088069156
48,0.5,0.95,0.95,-19.99714809800716
49,0.5,0.95,0.95,-16.905293162468592
50,0.5,0.95,0.95,-22.280660350874047
51,0.5,0.95,0.95,-19.465418057599663
52,0.5,0.95,0.95,-19.470239483976602
53,0.5,0.95,0.95,-19.313333336436695
54,0.5,0.95,0.95,-11.52712375158464
55,0.5,0.95,0.95,-18.680548741210636
56,0.5,0.95,0.95,-19.28133764970814
57,0.5,0.95,0.95,-23.530964576890412
58,0.5,0.95,0.95,-18.875248110071645
59,0.5,0.95,0.95,-19.46266357376385
60,0.5,0.95,0.95,-21.18613862367817
61,0.5,0.95,0.95,-20.750511735094236
62,0.5,0.95,0.95,-22.8225825050947
63,0.5,0.95,0.95,-17.491330722249614
64,0.5,0.95,0.95,-18.041825850893062
65,0.5,0.95,0.95,-22.329302341136554
66,0.5,0.95,0.95,-17.62156102416492
67,0.5,0.95,0.95,-19.551959109181045
68,0.5,0.95,0.95,-19.540922104638422
69,0.5,0.95,0.95,-19.041293067124993
70,0.5,0.95,0.95,-24.139979227653413
71,0.5,0.95,0.95,-22.01149961787008
72,0.5,0.95,0.95,-20.533321165186397
73,0.5,0.95,0.95,-17.389970169019904
74,0.5,0.95,0.95,-17.572389403826236
75,0.5,0.95,0.95,-19.758336145155678
76,0.5,0.95,0.95,-21.822260813748443
77,0.5,0.95,0.95,-18.058117798477884
78,0.5,0.95,0.95,-19.870714676248937
79,0.5,0.95,0.95,-18.59067789537086
80,0.5,0.95,0.95,-22.05490238964356
81,0.5,0.95,0.95,-22.961959939173006
82,0.5,0.95,0.95,-20.77441313319287
83,0.5,0.95,0.95,-18.68487093149314
84,0.5,0.95,0.95,-17.297045773992885
85,0.5,0.95,0.95,-17.10587922838102
86,0.5,0.95,0.95,-15.906409374144058
87,0.5,0.95,0.95,-18.4503449224647
88,0.5,0.95,0.95,-22.920695217094618
89,0.5,0.95,0.95,-20.818799027293146
90,0.5,0.95,0.95,-17.698418772739817
91,0.5,0.95,0.95,-21.15009203230845
92,0.5,0.95,0.95,-19.74230111490185
93,0.5,0.95,0.95,-22.771346323534416
94,0.5,0.95,0.95,-21.491967878663907
95,0.5,0.95,0.95,-19.478663561648098
96,0.5,0.95,0.95,-25.323801370981734
97,0.5,0.95,0.95,-18.48863550438602
98,0.5,0.95,0.95,-19.70490079211542
99,0.5,0.95,0.95,-23.10367056256521
100,0.5,0.95,0.95,-22.104771706767096
101,0.5,0.95,0.95,-17.441291085812995
102,0.5,0.95,0.95,-19.391055044445242
103,0.5,0.95,0.95,-17.694525073263357
104,0.5,0.95,0.95,-19.67016076276344
105,0.5,0.95,0.95,-20.12419154326227
106,0.5,0.95,0.95,-19.242492038818586
107,0.5,0.95,0.95,-18.47357362672574
108,0.5,0.95,0.95,-21.42763909003668
109,0.5,0.95,0.95,-19.35023573701023
110,0.5,0.95,0.95,-20.4660199002935
111,0.5,0.95,0.95,-19.04844226541027
112,0.5,0.95,0.95,-20.651503668473833
113,0.5,0.95,0.95,-20.188450653200324
