num episodio,learning constant,discount factor,exploration factor,acumulated reward,iterations
0,0.5,0.95,0.95,16.11012121276244,33
1,0.5,0.95,0.95,10.51533168203289,23
2,0.5,0.95,0.95,12.876071117066443,28
3,0.5,0.95,0.95,7.055170286384425,15
4,0.5,0.95,0.95,6.804645885759896,15
5,0.5,0.95,0.95,12.259630867496414,25
6,0.5,0.95,0.95,12.062860681457426,24
7,0.5,0.95,0.95,5.83837208240569,13
8,0.5,0.95,0.95,7.62726226547727,16
9,0.5,0.95,0.95,19.070987981604777,38
10,0.5,0.95,0.95,14.899285861996933,30
11,0.5,0.95,0.95,17.968467003735302,36
12,0.5,0.95,0.95,16.773403375674086,34
13,0.5,0.95,0.95,29.296728553120545,61
14,0.5,0.95,0.95,6.730924696442107,14
15,0.5,0.95,0.95,6.180345233721084,13
16,0.5,0.95,0.95,4.8725430319586085,11
17,0.5,0.95,0.95,31.17796281354389,65
18,0.5,0.95,0.95,7.1089036729624135,15
19,0.5,0.95,0.95,9.321538820682237,20
20,0.5,0.95,0.95,11.867724927555305,24
21,0.5,0.95,0.95,6.62108833921084,15
22,0.5,0.95,0.95,28.163432912874455,58
23,0.5,0.95,0.95,11.69781126442368,24
24,0.5,0.95,0.95,6.753865177641774,15
25,0.5,0.95,0.95,8.62124396446603,18
26,0.5,0.95,0.95,11.567015128947197,24
27,0.5,0.95,0.95,25.529979155188318,50
28,0.5,0.95,0.95,7.26314011503134,15
29,0.5,0.95,0.95,8.654024104173722,18
30,0.5,0.95,0.95,6.67085271583626,14
31,0.5,0.95,0.95,5.699769994368111,12
32,0.5,0.95,0.95,10.907938422782554,22
33,0.5,0.95,0.95,6.8461569219506515,14
34,0.5,0.95,0.95,5.571039015129636,12
35,0.5,0.95,0.95,6.439465483428519,14
36,0.5,0.95,0.95,16.62230292887401,33
37,0.5,0.95,0.95,4.0168232413031975,9
38,0.5,0.95,0.95,6.242364246487117,13
39,0.5,0.95,0.95,8.614362775618163,18
40,0.5,0.95,0.95,8.022480675167817,18
41,0.5,0.95,0.95,10.447396347808118,22
42,0.5,0.95,0.95,5.6163806654310084,13
43,0.5,0.95,0.95,16.04225852951021,32
44,0.5,0.95,0.95,5.141536947488704,11
45,0.5,0.95,0.95,6.2886286380828995,14
46,0.5,0.95,0.95,6.747072969902138,16
47,0.5,0.95,0.95,10.400817389533549,22
48,0.5,0.95,0.95,14.007785884074668,29
49,0.5,0.95,0.95,20.57313031275011,41
50,0.5,0.95,0.95,4.084592080348649,9
51,0.5,0.95,0.95,5.162731478423557,11
52,0.5,0.95,0.95,13.389802903671535,27
53,0.5,0.95,0.95,6.516425416372928,14
54,0.5,0.95,0.95,6.691937049633706,15
55,0.5,0.95,0.95,11.70127407650742,24
56,0.5,0.95,0.95,12.64651684115544,26
57,0.5,0.95,0.95,15.422468680400343,31
58,0.5,0.95,0.95,20.822073000719517,42
59,0.5,0.95,0.95,13.216866470793182,28
60,0.5,0.95,0.95,12.764309960023718,26
61,0.5,0.95,0.95,17.62983171209786,37
62,0.5,0.95,0.95,5.277412160366737,12
63,0.5,0.95,0.95,12.533058898179938,27
64,0.5,0.95,0.95,17.68457216921951,36
