num episodio,learning constant,discount factor,exploration factor,acumulated reward,iterations
0,0.5,0.95,0.95,16.11012121276244,33.0
1,0.5,0.95,0.95,10.51533168203289,23.0
2,0.5,0.95,0.95,12.876071117066443,28.0
3,0.5,0.95,0.95,7.055170286384425,15.0
4,0.5,0.95,0.95,6.804645885759896,15.0
5,0.5,0.95,0.95,12.259630867496414,25.0
6,0.5,0.95,0.95,12.062860681457426,24.0
7,0.5,0.95,0.95,5.83837208240569,13.0
8,0.5,0.95,0.95,7.62726226547727,16.0
9,0.5,0.95,0.95,19.070987981604777,38.0
10,0.5,0.95,0.95,14.899285861996932,30.0
11,0.5,0.95,0.95,17.968467003735302,36.0
12,0.5,0.95,0.95,16.773403375674086,34.0
13,0.5,0.95,0.95,29.296728553120545,61.0
14,0.5,0.95,0.95,6.730924696442107,14.0
15,0.5,0.95,0.95,6.180345233721084,13.0
16,0.5,0.95,0.95,4.8725430319586085,11.0
17,0.5,0.95,0.95,31.17796281354389,65.0
18,0.5,0.95,0.95,7.1089036729624135,15.0
19,0.5,0.95,0.95,9.321538820682235,20.0
20,0.5,0.95,0.95,11.867724927555305,24.0
21,0.5,0.95,0.95,6.62108833921084,15.0
22,0.5,0.95,0.95,28.163432912874452,58.0
23,0.5,0.95,0.95,11.69781126442368,24.0
24,0.5,0.95,0.95,6.753865177641774,15.0
25,0.5,0.95,0.95,8.62124396446603,18.0
26,0.5,0.95,0.95,11.567015128947196,24.0
27,0.5,0.95,0.95,25.52997915518832,50.0
28,0.5,0.95,0.95,7.26314011503134,15.0
29,0.5,0.95,0.95,8.654024104173722,18.0
30,0.5,0.95,0.95,6.67085271583626,14.0
31,0.5,0.95,0.95,5.699769994368111,12.0
32,0.5,0.95,0.95,10.907938422782554,22.0
33,0.5,0.95,0.95,6.846156921950652,14.0
34,0.5,0.95,0.95,5.571039015129636,12.0
35,0.5,0.95,0.95,6.439465483428519,14.0
36,0.5,0.95,0.95,16.62230292887401,33.0
37,0.5,0.95,0.95,4.0168232413031975,9.0
38,0.5,0.95,0.95,6.242364246487117,13.0
39,0.5,0.95,0.95,8.614362775618163,18.0
40,0.5,0.95,0.95,8.022480675167817,18.0
41,0.5,0.95,0.95,10.447396347808118,22.0
42,0.5,0.95,0.95,5.616380665431008,13.0
43,0.5,0.95,0.95,16.04225852951021,32.0
