num episodio,learning constant,discount factor,exploration factor,acumulated reward,iterations
0,0.5,0.95,0.95,8.149482293054682,23
1,0.5,0.95,0.95,0.181373891792661,21
2,0.5,0.95,0.95,0.027047612470349904,46
3,0.5,0.95,0.95,0.2604728929263807,8
4,0.5,0.95,0.95,19.602891569754288,65
5,0.5,0.95,0.95,10.0,18
6,0.5,0.95,0.95,8.0,10
7,0.5,0.95,0.95,9.0,9
8,0.5,0.95,0.95,12.0,32
9,0.5,0.95,0.95,0.06970185182789626,18
10,0.5,0.95,0.95,0.056167709070572655,23
11,0.5,0.95,0.95,0.0,19
12,0.5,0.95,0.95,12.010931221176195,48
13,0.5,0.95,0.95,25.333567690576885,39
14,0.5,0.95,0.95,9.0,30
15,0.5,0.95,0.95,7.160843723422608,38
16,0.5,0.95,0.95,9.02531549786475,117
17,0.5,0.95,0.95,0.016000012404046998,32
18,0.5,0.95,0.95,0.6420489184681162,37
19,0.5,0.95,0.95,0.2662722024688481,12
20,0.5,0.95,0.95,0.0,16
21,0.5,0.95,0.95,0.03838491493557325,23
22,0.5,0.95,0.95,0.0666331576861482,17
23,0.5,0.95,0.95,15.011160723037364,32
24,0.5,0.95,0.95,6.0,33
25,0.5,0.95,0.95,0.0,12
26,0.5,0.95,0.95,0.07988925898241957,13
27,0.5,0.95,0.95,0.0,23
28,0.5,0.95,0.95,3.15695027868314,47
29,0.5,0.95,0.95,1.0240056769708021,25
30,0.5,0.95,0.95,0.06445510250943196,29
31,0.5,0.95,0.95,0.2886869773687947,40
32,0.5,0.95,0.95,0.7228411813343314,22
33,0.5,0.95,0.95,0.09978164606664994,19
34,0.5,0.95,0.95,0.07000806983503412,28
35,0.5,0.95,0.95,0.09292960232021692,10
36,0.5,0.95,0.95,0.8549775425067,22
37,0.5,0.95,0.95,7.041692369123519,20
38,0.5,0.95,0.95,14.193882922668266,35
39,0.5,0.95,0.95,0.09067199210627715,12
40,0.5,0.95,0.95,0.25446180495883103,24
41,0.5,0.95,0.95,0.040777675901456326,39
42,0.5,0.95,0.95,0.16722625954322085,27
43,0.5,0.95,0.95,0.22119192540034247,15
44,0.5,0.95,0.95,0.0,14
45,0.5,0.95,0.95,0.12271137962825772,12
46,0.5,0.95,0.95,0.504154752318839,19
47,0.5,0.95,0.95,0.33465866375081543,23
48,0.5,0.95,0.95,0.3410672880998429,22
49,0.5,0.95,0.95,0.0,20
50,0.5,0.95,0.95,0.3146593256750644,16
51,0.5,0.95,0.95,0.46846282278794493,50
52,0.5,0.95,0.95,0.31561350446057035,17
53,0.5,0.95,0.95,0.0,23
54,0.5,0.95,0.95,11.117481779288411,52
55,0.5,0.95,0.95,14.064470387856964,70
56,0.5,0.95,0.95,0.14964211666410154,42
57,0.5,0.95,0.95,0.10371719817385494,11
58,0.5,0.95,0.95,0.0,20
59,0.5,0.95,0.95,0.112942765058289,12
60,0.5,0.95,0.95,0.4459994236384625,33
61,0.5,0.95,0.95,14.0,14
62,0.5,0.95,0.95,59.0,111
63,0.5,0.95,0.95,29.056379030001423,53
64,0.5,0.95,0.95,7.075398145293823,37
65,0.5,0.95,0.95,0.7125948846685635,24
66,0.5,0.95,0.95,0.020000000000219894,33
67,0.5,0.95,0.95,0.0,10
68,0.5,0.95,0.95,23.69354972563595,76
69,0.5,0.95,0.95,41.0,57
70,0.5,0.95,0.95,4.0,50
71,0.5,0.95,0.95,0.4071952173657025,10
72,0.5,0.95,0.95,0.0,14
73,0.5,0.95,0.95,0.1932233112686471,23
74,0.5,0.95,0.95,0.036000421149308376,13
75,0.5,0.95,0.95,1.1099523815842365,36
76,0.5,0.95,0.95,3.1825964166744973,13
77,0.5,0.95,0.95,0.05998483104227186,25
78,0.5,0.95,0.95,0.050303779963744355,9
79,0.5,0.95,0.95,0.11414807187969903,46
80,0.5,0.95,0.95,0.33217284991973045,31
81,0.5,0.95,0.95,0.06121890473797889,18
82,0.5,0.95,0.95,12.0,66
83,0.5,0.95,0.95,0.3791749449722668,31
84,0.5,0.95,0.95,0.8538471509494907,73
85,0.5,0.95,0.95,0.17377229903172972,18
86,0.5,0.95,0.95,0.3585706536938572,49
87,0.5,0.95,0.95,0.18423111309884363,22
88,0.5,0.95,0.95,0.01600224981374134,54
89,0.5,0.95,0.95,0.09867925078519685,18
90,0.5,0.95,0.95,0.0,20
91,0.5,0.95,0.95,0.0,1
92,0.5,0.95,0.95,1.1097235740308788,36
93,0.5,0.95,0.95,0.0,15
94,0.5,0.95,0.95,0.129100599922332,15
95,0.5,0.95,0.95,48.97711487913088,116
96,0.5,0.95,0.95,7.028301564717559,14
97,0.5,0.95,0.95,3.7778608885552893,103
98,0.5,0.95,0.95,0.1268169400214278,15
99,0.5,0.95,0.95,0.0826678887490051,38
100,0.5,0.95,0.95,11.0,35
101,0.5,0.95,0.95,0.07000050873122217,23
102,0.5,0.95,0.95,0.3313080130571036,33
103,0.5,0.95,0.95,0.07666430045114164,13
104,0.5,0.95,0.95,8.199528671497031,34
105,0.5,0.95,0.95,0.32795413356260134,11
106,0.5,0.95,0.95,1.453289867461058,32
107,0.5,0.95,0.95,0.7871617562015965,48
108,0.5,0.95,0.95,4.0,15
109,0.5,0.95,0.95,0.598860652870923,22
110,0.5,0.95,0.95,0.2106982492900002,10
111,0.5,0.95,0.95,0.2593910863082157,12
112,0.5,0.95,0.95,8.143979734085868,46
113,0.5,0.95,0.95,0.0,15
114,0.5,0.95,0.95,0.22816656177751382,21
115,0.5,0.95,0.95,36.0,58
